True,Predicted
15.0,16.0
20.0,21.45
0.0,2.59
20.0,20.16
0.5,0.505
0.0,0.0
2.0,3.43
1.0,1.03
0.5,0.475
0.0,0.2
25.0,18.96
8.0,8.48
0.5,0.24
0.5,0.5
25.0,24.25
2.0,1.98
25.0,25.0
4.0,5.23
0.5,0.53
2.0,2.23
15.0,13.4
0.0,0.4
15.0,11.46
0.0,5.82
0.0,0.0
2.0,1.99
25.0,25.0
0.0,0.75
8.0,8.35
2.0,2.0
25.0,25.0
15.0,14.95
1.0,0.825
1.0,1.41
10.0,9.99
10.0,10.0
25.0,24.45
4.0,4.0
1.0,0.97
10.0,9.83
8.0,9.0
0.0,1.26
0.0,0.515
15.0,14.35
0.0,2.04
10.0,9.98
0.0,0.75
10.0,10.44
15.0,15.35
20.0,19.4
1.0,0.985
2.0,2.02
4.0,4.0
8.0,8.06
8.0,6.84
4.0,4.0
0.5,0.72
25.0,24.45
15.0,18.85
1.0,0.885
8.0,9.02
2.0,1.95
4.0,3.96
2.0,2.6
25.0,24.3
0.0,0.0
25.0,25.0
25.0,25.0
1.0,1.0
0.5,0.665
8.0,8.62
0.5,0.695
0.5,0.89
4.0,7.37
25.0,24.3
2.0,2.29
2.0,1.895
25.0,24.0
2.0,1.985
20.0,17.1
20.0,23.25
4.0,5.59
0.5,0.735
20.0,19.9
10.0,11.05
1.0,1.41
2.0,2.205
0.0,0.0
25.0,24.45
0.0,0.125
2.0,1.985
8.0,9.04
25.0,24.9
10.0,10.0
8.0,8.04
0.5,0.585
0.5,0.5
10.0,9.8
10.0,8.96
0.5,0.52
15.0,15.1
25.0,22.1
15.0,14.65
0.5,0.525
2.0,2.24
2.0,1.99
4.0,4.0
20.0,18.95
4.0,5.25
8.0,9.97
1.0,0.905
1.0,1.03
25.0,24.55
0.0,0.2
8.0,8.0
0.0,0.0
0.5,0.75
4.0,4.54
4.0,3.88
4.0,3.86
1.0,1.025
0.0,0.275
0.5,0.42
2.0,2.02
0.0,0.255
10.0,9.81
15.0,15.0
1.0,1.01
20.0,19.9
4.0,3.98
25.0,22.83
2.0,1.67
20.0,20.1
15.0,12.26
25.0,24.9
1.0,1.795
20.0,15.85
4.0,4.05
4.0,4.01
4.0,4.0
2.0,1.54
2.0,2.02
0.5,2.35
8.0,8.02
4.0,4.79
4.0,3.38
10.0,9.7
0.5,0.66
10.0,9.51
20.0,19.73
25.0,25.0
15.0,14.93
15.0,11.74
20.0,6.8
15.0,10.56
1.0,1.77
4.0,3.94
0.0,0.5
20.0,17.68
15.0,17.1
20.0,20.0
20.0,19.6
8.0,7.92
15.0,14.86
2.0,2.0
4.0,4.01
8.0,8.36
1.0,1.04
25.0,24.8
4.0,5.74
15.0,15.3
2.0,2.03
2.0,2.32
0.5,0.505
0.5,0.585
0.0,1.295
25.0,24.75
4.0,3.02
20.0,20.1
0.5,0.535
0.0,0.105
25.0,20.2
4.0,3.86
8.0,8.11
15.0,15.0
10.0,10.35
0.5,0.515
8.0,9.02
8.0,7.3
0.5,0.665
1.0,1.31
1.0,0.935
2.0,2.02
8.0,8.8
15.0,14.85
20.0,20.15
20.0,20.1
15.0,15.05
2.0,2.195
15.0,14.95
20.0,23.45
0.0,0.0
15.0,15.3
15.0,15.3
20.0,20.0
8.0,8.4
4.0,3.98
0.0,0.5
20.0,20.55
8.0,8.04
2.0,1.995
10.0,10.0
0.0,0.0
0.0,0.25
15.0,15.25
15.0,15.35
20.0,4.69
20.0,19.8
8.0,8.23
20.0,20.0
1.0,1.02
20.0,18.95
1.0,1.06
2.0,2.02
0.5,0.53
0.5,0.5
4.0,6.49
0.5,0.785
1.0,0.955
20.0,19.8
0.5,0.495
4.0,3.58
20.0,19.99
10.0,9.67
25.0,24.9
0.0,0.295
1.0,0.865
4.0,3.82
8.0,8.11
4.0,5.18
15.0,15.9
2.0,2.41
0.0,0.29
0.5,0.76
0.0,0.26
20.0,20.05
25.0,25.0
0.5,0.71
8.0,8.04
0.5,0.5
4.0,4.0
15.0,15.2
20.0,18.95
1.0,0.925
8.0,7.51
0.0,0.25
25.0,24.15
25.0,24.35
15.0,16.2
0.5,0.48
15.0,12.14
25.0,4.37
8.0,9.89
1.0,0.995
25.0,24.7
2.0,3.215
25.0,8.655
0.0,0.24
15.0,13.9
1.0,1.36
0.5,0.91
25.0,25.0
15.0,14.4
8.0,8.14
15.0,15.1
8.0,8.2
15.0,14.75
15.0,11.57
1.0,1.0
1.0,1.02
15.0,14.37
25.0,24.6
20.0,20.4
2.0,2.01
8.0,8.18
8.0,9.06
25.0,22.9
8.0,8.56
20.0,20.05
25.0,22.74
0.0,0.365
10.0,10.14
0.5,0.495
4.0,8.62
15.0,14.49
8.0,8.04
2.0,2.0
