Jan. 17, 2025   13:40:24
Cyclic Voltammetry
File: c:\users\user\desktop\Data Source:  Experiment
Instrument Model:  CHI6116E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = 0.8
High E (V) = 0.8
Low E (V) = -0.8
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 22
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Segment 7:

Segment 8:

Segment 9:

Segment 10:

Segment 11:

Segment 12:

Segment 13:

Segment 14:

Segment 15:

Segment 16:

Segment 17:

Segment 18:

Segment 19:

Segment 20:

Segment 21:

Segment 22:

Potential/V, Current/A

0.800, 4.764e-4
0.799, 4.702e-4
0.798, 4.640e-4
0.797, 4.580e-4
0.796, 4.521e-4
0.795, 4.463e-4
0.794, 4.405e-4
0.793, 4.349e-4
0.792, 4.293e-4
0.791, 4.237e-4
0.790, 4.182e-4
0.789, 4.128e-4
0.788, 4.075e-4
0.787, 4.022e-4
0.786, 3.969e-4
0.785, 3.917e-4
0.784, 3.865e-4
0.783, 3.814e-4
0.782, 3.763e-4
0.781, 3.713e-4
0.780, 3.663e-4
0.779, 3.614e-4
0.778, 3.565e-4
0.777, 3.516e-4
0.776, 3.468e-4
0.775, 3.420e-4
0.774, 3.373e-4
0.773, 3.325e-4
0.772, 3.278e-4
0.771, 3.231e-4
0.770, 3.185e-4
0.769, 3.138e-4
0.768, 3.092e-4
0.767, 3.046e-4
0.766, 3.000e-4
0.765, 2.955e-4
0.764, 2.910e-4
0.763, 2.865e-4
0.762, 2.821e-4
0.761, 2.777e-4
0.760, 2.733e-4
0.759, 2.689e-4
0.758, 2.645e-4
0.757, 2.602e-4
0.756, 2.559e-4
0.755, 2.517e-4
0.754, 2.474e-4
0.753, 2.432e-4
0.752, 2.390e-4
0.751, 2.348e-4
0.750, 2.306e-4
0.749, 2.265e-4
0.748, 2.223e-4
0.747, 2.182e-4
0.746, 2.142e-4
0.745, 2.101e-4
0.744, 2.061e-4
0.743, 2.021e-4
0.742, 1.981e-4
0.741, 1.942e-4
0.740, 1.903e-4
