Jan. 16, 2025   11:43:21
Cyclic Voltammetry
File: c:\users\user\desktop\Data Source:  Experiment
Instrument Model:  CHI6116E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = 0.8
High E (V) = 0.8
Low E (V) = -0.8
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 22
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Segment 7:

Segment 8:

Segment 9:

Segment 10:

Segment 11:

Segment 12:

Segment 13:

Segment 14:

Segment 15:

Segment 16:

Segment 17:

Segment 18:

Segment 19:

Segment 20:

Segment 21:

Segment 22:

Potential/V, Current/A

0.800, 7.471e-4
0.799, 7.409e-4
0.798, 7.348e-4
0.797, 7.287e-4
0.796, 7.226e-4
0.795, 7.167e-4
0.794, 7.107e-4
0.793, 7.049e-4
0.792, 6.990e-4
0.791, 6.933e-4
0.790, 6.876e-4
0.789, 6.819e-4
0.788, 6.763e-4
0.787, 6.707e-4
0.786, 6.652e-4
0.785, 6.598e-4
0.784, 6.543e-4
0.783, 6.489e-4
0.782, 6.435e-4
0.781, 6.382e-4
0.780, 6.328e-4
0.779, 6.275e-4
0.778, 6.222e-4
0.777, 6.169e-4
0.776, 6.117e-4
0.775, 6.065e-4
0.774, 6.013e-4
0.773, 5.962e-4
0.772, 5.910e-4
0.771, 5.859e-4
0.770, 5.808e-4
0.769, 5.758e-4
0.768, 5.707e-4
0.767, 5.657e-4
0.766, 5.608e-4
0.765, 5.558e-4
0.764, 5.508e-4
0.763, 5.459e-4
0.762, 5.409e-4
0.761, 5.360e-4
0.760, 5.311e-4
0.759, 5.263e-4
0.758, 5.215e-4
0.757, 5.167e-4
0.756, 5.119e-4
0.755, 5.072e-4
0.754, 5.025e-4
0.753, 4.978e-4
0.752, 4.931e-4
0.751, 4.884e-4
0.750, 4.837e-4
0.749, 4.790e-4
0.748, 4.744e-4
0.747, 4.697e-4
0.746, 4.651e-4
0.745, 4.605e-4
0.744, 4.559e-4
0.743, 4.513e-4
0.742, 4.468e-4
0.741, 4.422e-4
0.740, 4.377e-4
