Jan. 16, 2025   14:29:39
Cyclic Voltammetry
File: c:\users\user\desktop\Data Source:  Experiment
Instrument Model:  CHI6116E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = 0.8
High E (V) = 0.8
Low E (V) = -0.8
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 22
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:
Ep = -0.618V
ip = -1.862e-5A
Ah = -1.292e-5C

Segment 6:

Segment 7:
Ep = -0.606V
ip = -2.301e-5A
Ah = -1.597e-5C

Segment 8:

Segment 9:
Ep = -0.601V
ip = -2.147e-5A
Ah = -1.501e-5C

Segment 10:

Segment 11:
Ep = -0.597V
ip = -1.952e-5A
Ah = -1.373e-5C

Segment 12:

Segment 13:
Ep = -0.598V
ip = -1.835e-5A
Ah = -1.325e-5C

Segment 14:

Segment 15:
Ep = -0.598V
ip = -1.763e-5A
Ah = -1.327e-5C

Segment 16:

Segment 17:
Ep = -0.598V
ip = -1.749e-5A
Ah = -1.317e-5C

Segment 18:

Segment 19:
Ep = -0.597V
ip = -1.697e-5A
Ah = -1.316e-5C

Segment 20:

Segment 21:
Ep = -0.597V
ip = -1.533e-5A
Ah = -1.177e-5C

Segment 22:

Potential/V, Current/A

0.800, 5.881e-4
0.799, 5.816e-4
0.798, 5.751e-4
0.797, 5.687e-4
0.796, 5.624e-4
0.795, 5.561e-4
0.794, 5.499e-4
0.793, 5.438e-4
0.792, 5.377e-4
0.791, 5.317e-4
0.790, 5.258e-4
0.789, 5.199e-4
0.788, 5.141e-4
0.787, 5.084e-4
0.786, 5.027e-4
0.785, 4.971e-4
0.784, 4.915e-4
0.783, 4.859e-4
0.782, 4.803e-4
0.781, 4.748e-4
0.780, 4.693e-4
0.779, 4.639e-4
0.778, 4.584e-4
0.777, 4.531e-4
0.776, 4.477e-4
0.775, 4.424e-4
0.774, 4.372e-4
0.773, 4.319e-4
0.772, 4.267e-4
0.771, 4.215e-4
0.770, 4.163e-4
0.769, 4.112e-4
0.768, 4.061e-4
0.767, 4.010e-4
0.766, 3.960e-4
0.765, 3.909e-4
0.764, 3.859e-4
0.763, 3.809e-4
0.762, 3.759e-4
0.761, 3.710e-4
0.760, 3.661e-4
0.759, 3.613e-4
0.758, 3.564e-4
0.757, 3.517e-4
0.756, 3.469e-4
0.755, 3.421e-4
0.754, 3.374e-4
0.753, 3.327e-4
0.752, 3.280e-4
0.751, 3.233e-4
0.750, 3.186e-4
0.749, 3.139e-4
0.748, 3.093e-4
0.747, 3.046e-4
0.746, 3.000e-4
0.745, 2.955e-4
0.744, 2.910e-4
0.743, 2.864e-4
0.742, 2.819e-4
0.741, 2.774e-4
0.740, 2.730e-4
0.739, 2.685e-4
0.738, 2.641e-4
0.737, 2.596e-4
0.736, 2.553e-4
0.735, 2.509e-4
0.734, 2.466e-4
0.733, 2.423e-4
0.732, 2.379e-4
0.731, 2.336e-4
0.730, 2.293e-4
0.729, 2.250e-4
0.728, 2.208e-4
0.727, 2.166e-4
0.726, 2.124e-4
0.725, 2.082e-4
0.724, 2.041e-4
0.723, 1.999e-4
0.722, 1.958e-4
0.721, 1.918e-4
0.720, 1.877e-4
0.719, 1.837e-4
