Jan. 16, 2025   14:51:07
Cyclic Voltammetry
File: c:\users\user\desktop\Data Source:  Experiment
Instrument Model:  CHI6116E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = 0.8
High E (V) = 0.8
Low E (V) = -0.8
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 22
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Segment 1:
Ep = -0.621V
ip = -1.611e-5A
Ah = -1.001e-5C

Segment 2:

Segment 3:
Ep = -0.593V
ip = -2.896e-5A
Ah = -2.172e-5C

Segment 4:

Segment 5:
Ep = -0.577V
ip = -1.037e-5A
Ah = -1.281e-5C

Segment 6:

Segment 7:

Segment 8:

Segment 9:

Segment 10:

Segment 11:
Ep = -0.585V
ip = -2.700e-5A
Ah = -2.203e-5C

Segment 12:

Segment 13:
Ep = -0.588V
ip = -2.613e-5A
Ah = -1.953e-5C

Segment 14:

Segment 15:
Ep = -0.585V
ip = -1.921e-5A
Ah = -1.486e-5C

Segment 16:

Segment 17:
Ep = -0.584V
ip = -1.289e-5A
Ah = -8.370e-6C

Segment 18:

Segment 19:
Ep = -0.584V
ip = -1.184e-5A
Ah = -7.594e-6C

Segment 20:

Segment 21:
Ep = -0.584V
ip = -1.362e-5A
Ah = -8.573e-6C

Segment 22:

Potential/V, Current/A

0.800, 5.806e-4
0.799, 5.740e-4
0.798, 5.675e-4
0.797, 5.611e-4
0.796, 5.547e-4
0.795, 5.484e-4
0.794, 5.422e-4
0.793, 5.360e-4
0.792, 5.299e-4
0.791, 5.239e-4
0.790, 5.180e-4
0.789, 5.122e-4
0.788, 5.064e-4
0.787, 5.006e-4
0.786, 4.949e-4
0.785, 4.892e-4
0.784, 4.836e-4
0.783, 4.780e-4
0.782, 4.724e-4
0.781, 4.669e-4
0.780, 4.614e-4
0.779, 4.559e-4
0.778, 4.505e-4
0.777, 4.451e-4
0.776, 4.398e-4
0.775, 4.344e-4
0.774, 4.291e-4
0.773, 4.239e-4
0.772, 4.187e-4
0.771, 4.135e-4
0.770, 4.083e-4
0.769, 4.032e-4
0.768, 3.981e-4
0.767, 3.930e-4
0.766, 3.879e-4
0.765, 3.828e-4
0.764, 3.778e-4
0.763, 3.729e-4
0.762, 3.679e-4
0.761, 3.630e-4
0.760, 3.581e-4
0.759, 3.533e-4
0.758, 3.485e-4
0.757, 3.437e-4
0.756, 3.389e-4
0.755, 3.341e-4
0.754, 3.294e-4
0.753, 3.246e-4
0.752, 3.199e-4
0.751, 3.152e-4
0.750, 3.105e-4
0.749, 3.058e-4
0.748, 3.012e-4
0.747, 2.966e-4
0.746, 2.920e-4
0.745, 2.875e-4
0.744, 2.830e-4
0.743, 2.784e-4
0.742, 2.739e-4
0.741, 2.694e-4
0.740, 2.650e-4
0.739, 2.605e-4
0.738, 2.561e-4
0.737, 2.517e-4
0.736, 2.473e-4
0.735, 2.430e-4
0.734, 2.386e-4
0.733, 2.343e-4
0.732, 2.300e-4
0.731, 2.257e-4
0.730, 2.214e-4
0.729, 2.172e-4
0.728, 2.129e-4
0.727, 2.087e-4
0.726, 2.046e-4
0.725, 2.004e-4
0.724, 1.963e-4
0.723, 1.922e-4
0.722, 1.881e-4
0.721, 1.841e-4
0.720, 1.800e-4
0.719, 1.759e-4
