Jan. 18, 2025   15:20:09
Cyclic Voltammetry
File: c:\users\user\desktop\Data Source:  Experiment
Instrument Model:  CHI6116E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = 0.8
High E (V) = 0.8
Low E (V) = -0.8
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 22
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Segment 7:

Segment 8:

Segment 9:

Segment 10:

Segment 11:

Segment 12:

Segment 13:

Segment 14:

Segment 15:

Segment 16:

Segment 17:

Segment 18:

Segment 19:

Segment 20:

Segment 21:

Segment 22:

Potential/V, Current/A

0.800, 4.485e-4
0.799, 4.421e-4
0.798, 4.358e-4
0.797, 4.296e-4
0.796, 4.234e-4
0.795, 4.173e-4
0.794, 4.113e-4
0.793, 4.055e-4
0.792, 3.997e-4
0.791, 3.939e-4
0.790, 3.882e-4
0.789, 3.825e-4
0.788, 3.770e-4
0.787, 3.714e-4
0.786, 3.660e-4
0.785, 3.606e-4
0.784, 3.553e-4
0.783, 3.500e-4
0.782, 3.448e-4
0.781, 3.396e-4
0.780, 3.344e-4
0.779, 3.293e-4
0.778, 3.242e-4
0.777, 3.191e-4
0.776, 3.141e-4
0.775, 3.091e-4
0.774, 3.041e-4
0.773, 2.991e-4
0.772, 2.943e-4
0.771, 2.894e-4
0.770, 2.846e-4
0.769, 2.798e-4
0.768, 2.751e-4
0.767, 2.703e-4
0.766, 2.656e-4
0.765, 2.609e-4
0.764, 2.563e-4
0.763, 2.517e-4
0.762, 2.471e-4
0.761, 2.425e-4
0.760, 2.380e-4
0.759, 2.335e-4
0.758, 2.290e-4
0.757, 2.245e-4
0.756, 2.201e-4
0.755, 2.157e-4
0.754, 2.113e-4
0.753, 2.070e-4
0.752, 2.027e-4
0.751, 1.984e-4
0.750, 1.942e-4
0.749, 1.900e-4
0.748, 1.858e-4
0.747, 1.816e-4
0.746, 1.775e-4
0.745, 1.734e-4
0.744, 1.692e-4
0.743, 1.652e-4
0.742, 1.611e-4
0.741, 1.571e-4
0.740, 1.530e-4
