Jan. 18, 2025   15:34:02
Cyclic Voltammetry
File: c:\users\user\desktop\Data Source:  Experiment
Instrument Model:  CHI6116E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = 0.8
High E (V) = 0.8
Low E (V) = -0.8
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 22
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:
Ep = -0.622V
ip = -2.623e-5A
Ah = -2.233e-5C

Segment 6:

Segment 7:
Ep = -0.596V
ip = -3.343e-5A
Ah = -2.840e-5C

Segment 8:

Segment 9:
Ep = -0.583V
ip = -3.908e-5A
Ah = -3.212e-5C

Segment 10:

Segment 11:
Ep = -0.578V
ip = -4.086e-5A
Ah = -3.272e-5C

Segment 12:

Segment 13:
Ep = -0.576V
ip = -4.077e-5A
Ah = -3.201e-5C

Segment 14:

Segment 15:
Ep = -0.576V
ip = -4.069e-5A
Ah = -3.221e-5C

Segment 16:

Segment 17:
Ep = -0.574V
ip = -4.070e-5A
Ah = -3.140e-5C

Segment 18:
Ep = -0.118V
ip = 1.764e-5A
Ah = 1.689e-5C

Segment 19:
Ep = -0.574V
ip = -3.953e-5A
Ah = -3.017e-5C

Segment 20:
Ep = -0.117V
ip = 1.748e-5A
Ah = 1.680e-5C

Segment 21:
Ep = -0.575V
ip = -3.844e-5A
Ah = -2.939e-5C

Segment 22:

Potential/V, Current/A

0.800, 4.410e-4
0.799, 4.345e-4
0.798, 4.282e-4
0.797, 4.220e-4
0.796, 4.158e-4
0.795, 4.098e-4
0.794, 4.038e-4
0.793, 3.980e-4
0.792, 3.921e-4
0.791, 3.864e-4
0.790, 3.807e-4
0.789, 3.751e-4
0.788, 3.695e-4
0.787, 3.641e-4
0.786, 3.586e-4
0.785, 3.533e-4
0.784, 3.480e-4
0.783, 3.427e-4
0.782, 3.375e-4
0.781, 3.323e-4
0.780, 3.271e-4
0.779, 3.220e-4
0.778, 3.169e-4
0.777, 3.119e-4
0.776, 3.068e-4
0.775, 3.018e-4
0.774, 2.969e-4
0.773, 2.920e-4
0.772, 2.871e-4
0.771, 2.823e-4
0.770, 2.775e-4
0.769, 2.727e-4
0.768, 2.680e-4
0.767, 2.632e-4
0.766, 2.586e-4
0.765, 2.539e-4
0.764, 2.493e-4
0.763, 2.447e-4
0.762, 2.402e-4
0.761, 2.356e-4
0.760, 2.311e-4
0.759, 2.266e-4
0.758, 2.221e-4
0.757, 2.177e-4
0.756, 2.133e-4
0.755, 2.089e-4
0.754, 2.046e-4
0.753, 2.003e-4
0.752, 1.960e-4
0.751, 1.918e-4
0.750, 1.876e-4
0.749, 1.834e-4
0.748, 1.792e-4
0.747, 1.751e-4
0.746, 1.709e-4
0.745, 1.668e-4
0.744, 1.628e-4
0.743, 1.587e-4
0.742, 1.546e-4
0.741, 1.506e-4
0.740, 1.465e-4
0.739, 1.426e-4
0.738, 1.386e-4
0.737, 1.347e-4
0.736, 1.308e-4
0.735, 1.270e-4
0.734, 1.231e-4
0.733, 1.193e-4
0.732, 1.155e-4
0.731, 1.117e-4
0.730, 1.079e-4
0.729, 1.041e-4
0.728, 1.004e-4
0.727, 9.673e-5
0.726, 9.307e-5
0.725, 8.943e-5
