Jan. 18, 2025   14:15:40
Cyclic Voltammetry
File: c:\users\user\desktop\Data Source:  Experiment
Instrument Model:  CHI6116E
Data Proc:  Smoothing
Header: 
Note: 

Init E (V) = 0.8
High E (V) = 0.8
Low E (V) = -0.8
Init P/N = N
Scan Rate (V/s) = 0.1
Segment = 22
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Segment 1:
Ep = -0.548V
ip = -3.409e-5A
Ah = -2.587e-5C

Segment 2:
Ep = -0.051V
ip = 8.724e-5A
Ah = 1.074e-4C

Segment 3:

Segment 4:
Ep = -0.043V
ip = 9.622e-5A
Ah = 1.235e-4C

Segment 5:

Segment 6:
Ep = -0.040V
ip = 9.862e-5A
Ah = 1.281e-4C

Segment 7:

Segment 8:
Ep = -0.038V
ip = 9.740e-5A
Ah = 1.288e-4C

Segment 9:

Segment 10:

Segment 11:

Segment 12:
Ep = -0.039V
ip = 9.826e-5A
Ah = 1.311e-4C

Segment 13:

Segment 14:
Ep = -0.042V
ip = 9.673e-5A
Ah = 1.275e-4C

Segment 15:

Segment 16:
Ep = -0.042V
ip = 9.677e-5A
Ah = 1.275e-4C

Segment 17:

Segment 18:
Ep = -0.041V
ip = 9.547e-5A
Ah = 1.270e-4C

Segment 19:

Segment 20:
Ep = -0.041V
ip = 9.569e-5A
Ah = 1.271e-4C

Segment 21:

Segment 22:
Ep = -0.042V
ip = 9.768e-5A
Ah = 1.278e-4C

Potential/V, Current/A

0.800, 4.860e-4
0.799, 4.799e-4
0.798, 4.739e-4
0.797, 4.679e-4
0.796, 4.620e-4
0.795, 4.562e-4
0.794, 4.505e-4
0.793, 4.449e-4
0.792, 4.393e-4
0.791, 4.338e-4
0.790, 4.283e-4
0.789, 4.229e-4
0.788, 4.175e-4
0.787, 4.121e-4
0.786, 4.069e-4
0.785, 4.017e-4
0.784, 3.967e-4
0.783, 3.917e-4
0.782, 3.867e-4
0.781, 3.818e-4
0.780, 3.768e-4
0.779, 3.718e-4
0.778, 3.668e-4
0.777, 3.619e-4
0.776, 3.570e-4
0.775, 3.522e-4
0.774, 3.474e-4
0.773, 3.426e-4
0.772, 3.379e-4
0.771, 3.331e-4
0.770, 3.284e-4
0.769, 3.237e-4
0.768, 3.191e-4
0.767, 3.144e-4
0.766, 3.098e-4
0.765, 3.052e-4
0.764, 3.006e-4
0.763, 2.960e-4
0.762, 2.916e-4
0.761, 2.871e-4
0.760, 2.826e-4
0.759, 2.782e-4
0.758, 2.738e-4
0.757, 2.694e-4
0.756, 2.650e-4
0.755, 2.607e-4
0.754, 2.563e-4
0.753, 2.520e-4
0.752, 2.478e-4
0.751, 2.436e-4
0.750, 2.393e-4
0.749, 2.351e-4
0.748, 2.309e-4
0.747, 2.267e-4
0.746, 2.225e-4
0.745, 2.184e-4
0.744, 2.143e-4
0.743, 2.102e-4
0.742, 2.062e-4
0.741, 2.021e-4
0.740, 1.981e-4
0.739, 1.942e-4
0.738, 1.902e-4
0.737, 1.863e-4
0.736, 1.824e-4
0.735, 1.785e-4
0.734, 1.746e-4
0.733, 1.707e-4
0.732, 1.668e-4
0.731, 1.630e-4
0.730, 1.592e-4
0.729, 1.554e-4
0.728, 1.516e-4
0.727, 1.478e-4
0.726, 1.440e-4
0.725, 1.403e-4
